Venue Name,Venue Category,Venue Latitude,Venue Longitude
South Coast Roast,Coffee Shop,50.72091263,-1.879085324
DelMarco,Italian Restaurant,50.72137017,-1.877221311
Lower Gardens,Park,50.71932295,-1.878195373
Bournemouth Gardens,Park,50.71898961,-1.877733145
Bournemouth Square,Plaza,50.72015593,-1.879563332
The Stable,Pizza Place,50.71951691,-1.876763395
Starbucks,Coffee Shop,50.720624,-1.879173
7Bone Burger Co.,Burger Joint,50.72006916,-1.876366553
Central Gardens,Park,50.71967524,-1.879183962
Lord Sandwich,Sandwich Place,50.720357,-1.878137
Espresso Kitchen,Coffee Shop,50.7202332,-1.88406104
The Gym,Gym,50.71866325,-1.874705851
Esquire Coffee,Coffee Shop,50.721469,-1.876114
Hilton Bournemouth,Hotel,50.71893131,-1.880605018
Pret A Manger,Sandwich Place,50.72026573,-1.880566495
Mad Cucumber,Vegetarian / Vegan Restaurant,50.72017703,-1.885087972
Five Guys,Burger Joint,50.71900297,-1.87987322
The Cosy Club,Comfort Food Restaurant,50.72048116,-1.877053058
Bournemouth Beach,Beach,50.71638672,-1.874734254
Odeon,Multiplex,50.71897297,-1.879804157
Giggi Gelateria,Ice Cream Shop,50.72133096,-1.875783681
Patisserie Valerie,Café,50.7202941,-1.878161658
The Real Greek,Greek Restaurant,50.719063,-1.879219
Bournemouth Beach (East Cliff Slope),Beach,50.71687379,-1.874282599
Starbucks,Coffee Shop,50.72039,-1.884166
PureGym,Gym / Fitness Center,50.72087401,-1.884095383
Caffè Nero,Coffee Shop,50.720028,-1.8836547
Meyrick Park,Park,50.7280625,-1.881856335
Tealith,Bubble Tea Shop,50.71990146,-1.884007168
NEO,Modern European Restaurant,50.716727,-1.87928
Turtle Bay,Caribbean Restaurant,50.72246861,-1.87277124
Smokin' Aces,Cocktail Bar,50.719695,-1.885076872
Koh Thai Tapas,Thai Restaurant,50.71984476,-1.888018274
The Goat and Tricycle,Pub,50.71932637,-1.887679077
Caffè Nero,Coffee Shop,50.72125074,-1.876464675
Spice of Lahore,Indian Restaurant,50.72243544,-1.869093288
Olive Bistro Cafe,Café,50.71997418,-1.888421383
Halo,Nightclub,50.71926709,-1.880346111
Russell-Cotes Art Gallery & Museum,Art Museum,50.71760416,-1.870851251
H&M,Clothing Store,50.72018608,-1.883192543
The Green House,Hotel,50.71940721,-1.868266507
The Norfolk Hotel,Hotel,50.72150906,-1.878928524
Delice Des Champs,French Restaurant,50.71990108,-1.876616259
Meyrick Park Club,Gym / Fitness Center,50.72522078,-1.884061754
Bournemouth Pavilion,Theater,50.71778641,-1.874759973
Hampton by Hilton Bournemouth,Hotel,50.7189714,-1.881915264
Primark,Clothing Store,50.72022725,-1.882234812
Sixty Million Postcards,Bar,50.71844614,-1.879625054
Schpoons & Forx,English Restaurant,50.71870063,-1.880445921
Roosters Piri Piri,Fast Food Restaurant,50.72226922,-1.86819076
Bournemouth Air Show,Arts & Entertainment,50.71855379,-1.86746599
Bar So,Bar,50.71771252,-1.879086006
La Piccola Italia,Italian Restaurant,50.72296616,-1.865489982
Indian Ocean,Indian Restaurant,50.71679552,-1.882883024
Brewhouse & Kitchen,Brewery,50.7197086,-1.886062543
Dean Park,Garden,50.72541211,-1.873168794
"Oceanarium, The Bournemouth Aquarium",Aquarium,50.71595166,-1.876478791
Westbeach,Diner,50.71555149,-1.877502882
Lola’s,Tapas Restaurant,50.719712,-1.884499
West Beach Restaurant and Bar,Seafood Restaurant,50.71556796,-1.877482635
Chiquito,Mexican Restaurant,50.71868983,-1.878946225
Durley Chine,Beach,50.71337954,-1.88902193
Subway,Sandwich Place,50.72262969,-1.86566767
Inferno,Pub,50.722574,-1.864473224
Sprinkles Gelato,Dessert Shop,50.72290441,-1.865451119
"Da Mario, wood-fired pizza",Italian Restaurant,50.72160252,-1.892843607
Bournemouth East Cliff,Other Great Outdoors,50.71869673,-1.865165258
Bournemouth Pizza Co.,Pizza Place,50.72582833,-1.861487455
La Piazza,Italian Restaurant,50.71971181,-1.886676608
Oriental Garden,Chinese Restaurant,50.71964378,-1.885137567
Mint Leaf Indian Brasserie,Indian Restaurant,50.720077,-1.885176
Troy Turkish Restaurant,Turkish Restaurant,50.72004378,-1.88534497
Upper Gardens,Park,50.72702513,-1.896095644
Atlantico,Fast Food Restaurant,50.72005819,-1.885356121
Hallmark Hotel,Hotel,50.71874231,-1.890371733
DYMK,Gay Bar,50.71970886,-1.887433814
The Winchester,Bar,50.71972067,-1.887661072
Subway,Sandwich Place,50.71981694,-1.884138578
Sound Circus,Nightclub,50.72709225,-1.861247902
Bournemouth Noodle Bar,Noodle House,50.72741531,-1.861141635
Triangle,Plaza,50.72003025,-1.885264931
Ojo Rojo,Mexican Restaurant,50.71982588,-1.884000747
KFC,Fast Food Restaurant,50.7201789,-1.883973138
The Durley Dean Hotel,Hotel,50.71617022,-1.888196556
Premier Inn Bournemouth West Cliff,Hotel,50.720983,-1.891768
Xchange,Gay Bar,50.71994257,-1.885438639
Tesco Express,Grocery Store,50.72045989,-1.884120405
The Durley Inn (Harvester),English Restaurant,50.71341945,-1.888995229
West Cliff Zig Zag,Scenic Lookout,50.71484887,-1.883914636
Bournemouth Railway Station (BMH),Train Station,50.72717895,-1.864351389
Mansfield Hotel Bournemouth,Hotel,50.71573764,-1.887462349
Need A Coffee,Café,50.715741,-1.888358
The Dean Park Inn,Hotel,50.73129051,-1.874073095
Cememtery Junction Bus Stop,Bus Stop,50.73159059,-1.873357789
Chineside,Café,50.71334141,-1.889096764
Platform 1,Platform,50.72728655,-1.863021101
The Cliffeside Hotel,Hotel,50.71945394,-1.860051817
The Garden Restaurant - Cottonwood Boutique Hotel,Hotel,50.71979486,-1.858884192
Middle Chine,Beach,50.71508996,-1.895663861
Casa Pepe,French Restaurant,50.72793,-1.860378
